Prezime,Ime,OIB,MBG,OI,Adresa,Mjesto,Pbroj,Adr_rac,Tel,Mob,Mail,OMM,TM,OMM_adresa,OMM_Pbroj,OMM_mjesto,PROIZVOD,Dana,Agent
Prpić,Lucija,79935464808,2819445493035,,Trg Vladka Mačeka 61,Sesvete-Kraljevec,10361,"Crvenog križa 99, 10362 Kašina",+3851737403,,,9101168868,BIJELI,,,,IDEAL,1/9/2017,005
Ivančić,Iva,73798558257,2369014500526,254515008,Lepušićeva 9,Belovar,10363,,,+385998268812,,3647548452,CRVENI,,,,IDEAL,1/3/2017,001
Jurišić,Marta,91874112020,6364453014734,,Hebrangova 52,Ivanja Reka,10373,"Babukićeva 48, 10360 Sesvete",,+385911002423,Marta.Jurisic@gmail.com,7451831008,BIJELI,,,,IDEAL,2/3/2017,001
Ban,Marko,39527432792,9135800432316,604761946,Starčevićev trg 21,Kašina,10362,"Ulica baruna Trenka 16, 10361 Sesvete-Kraljevec",+3851661963,+385919081578,Marko.Ban@yahoo.com,1155249304,BIJELI,,,,KLASIK,4/21/2017,003
Lončar,Petar,75381988838,5940641995825,392022894,Zavojna 68,Brezovica,10257,"Tomašićeva 9, 10090 Zagreb-Susedgrad",,+385917728110,,1448514017,BIJELI,,,,BONUS,1/20/2017,004
Lončar,Petra,80832430159,4269504817115,,Vodnikova 83,Donji Dragonožec,10253,"Tvrtkova 11, 10020 Zagreb-Novi Zagreb",,+385916165089,Petra.Loncar@hotmail.com,5062756000,BIJELI,,,,IDEAL,4/19/2017,005
Marjanović,Marko,63186591032,,,Marićev prolaz 40,Sesvete,10360,"Medulićeva 53, 10360 Sesvete",+3851388587,,Marko.Marjanovic@yahoo.com,1206491626,BIJELI,Savska 5,10000,Zagreb,IDEAL,1/13/2017,005
Sertić,Lana,28324293699,,,Berislavićeva 27,Zagreb-Susedgrad,10090,"Gajeva 72, 10373 Ivanja Reka",+3851676136,,Lana.Sertic@gmail.com,4873307048,PLAVI,,,,IDEAL,1/22/2017,004
Matić,Marko,34159008683,,908847084,Ladislava Šabana 54,Kašina,10362,,,+385912142989,Marko.Matic@gmail.com,5086278646,BIJELI,,,,IDEAL,4/22/2017,002
Burić,Luka,43572740098,1118697835031,,Smičiklasova 54,Sesvete-Kraljevec,10361,,,+385911344463,,2538573799,CRVENI,,,,BONUS,1/20/2017,002
Radić,David,60482152191,,,Rakovčeva 51,Donji Dragonožec,10253,,,+385914247425,David.Radic@gmail.com,6716912153,BIJELI,,,,BONUS,1/24/2017,005
Varga,Petra,79999245608,,,Rudolfa Matza 61,Sesvete,10360,,+3851760486,+385917847657,,1447519988,BIJELI,Dragana Plemenca 53,10361,Sesvete-Kraljevec,IDEAL,3/10/2017,003
Božić,Petar,28709889741,8353372918192,,Teslina 78,Donji Dragonožec,10253,,,+385992086220,,4488187785,PLAVI,,,,IDEAL,1/31/2017,005
Ivić,Ivan,68648748044,,,Primorska 86,Belovar,10363,,,+385913146154,,7858792609,BIJELI,,,,IDEAL,4/5/2017,001
Milić,Marta,01232972512,,430196706,Šulekova 26,Donji Dragonožec,10253,"Ulica Ante Kovačića 83, 10257 Brezovica",,+385994172932,,7190241392,PLAVI,,,,BONUS,2/24/2017,004
Kolarić,David,01590020584,1504459204552,974190983,Erdodyeva 97,Lučko,10250,"Trg Petra Preradovića 24, 10373 Ivanja Reka",+3851102648,+385912865960,David.Kolaric@yahoo.com,1083497440,BIJELI,,,,IDEAL,4/7/2017,005
Ivić,Lana,30074854637,,,Bulićeva 94,Kašina,10362,"Šubićeva 99, 10020 Zagreb-Novi Zagreb",,+385991683998,,6043196618,BIJELI,,,,IDEAL,4/5/2017,002
Ilić,Sara,69446136710,4276041780715,101310404,Borisa Ulricha 38,Sesvete,10360,"Heinzelova 35, 10360 Sesvete",,+385994764977,Sara.Ilic@hotmail.com,9658312916,BIJELI,,,,IDEAL,2/14/2017,002
Živković,Matej,46502056946,,,Mikloušićeva 97,Belovar,10363,,,+38591143838,,8130696174,BIJELI,,,,IDEAL,1/22/2017,004
Ljubičić,Ivano,34715432292,,703695981,Strossmayerov trg 60,Zaprešić,10290,,+3851444560,,,9610605657,CRVENI,,,,IDEAL,4/12/2017,002
Bilić,Leon,83881008085,,135495579,Svačićev trg 77,Sesvete,10360,,+3851610631,,,4824801916,BIJELI,,,,IDEAL,4/24/2017,005
Cindrić,Ema,09528635206,,222289606,Trg žrtava fašizma 62,Sesvete,10360,,+3851570136,+385918735031,Ema.Cindric@gmail.com,4757454249,BIJELI,,,,IDEAL,2/28/2017,002
Brajković,Ivan,00647152976,7941085510836,219586524,Splavnica 80,Donji Dragonožec,10253,"Lepušićeva 73, 10251 Hrvatski Leskovac",,+385993009024,,2455964987,CRVENI,,,,KLASIK,4/19/2017,003
Stanković,Lana,73269776926,4310026356895,938369340,Dolac 88,Brezovica,10257,"Dežmanova 41, 10361 Sesvete-Kraljevec",,+385993687728,,7012005298,BIJELI,,,,IDEAL,2/16/2017,002
Petričević,Jakov,43113731200,,221626368,Branjugova 57,Brezovica,10257,,+3851245439,+385912844479,Jakov.Petricevic@yahoo.com,7713430198,PLAVI,,,,KLASIK,3/15/2017,004
Sever,Matej,02174858033,2338014142819,,Marićev prolaz 36,Brezovica,10257,,+3851611462,,,5172873844,CRVENI,,,,IDEAL,4/17/2017,004
Medved,Ivano,65090781514,4284567629183,277815117,Nova Ves 41,Sesvete,10360,"Ulica Ivana Trnskog 84, 10360 Sesvete",,+385999521856,Ivano.Medved@gmail.com,6661585718,BIJELI,,,,IDEAL,1/15/2017,004
ćosić,Ana,79035403329,3481991225489,,Masarykova 40,Zagreb-Sloboština,10010,,+3851481504,,,3787026013,PLAVI,,,,KLASIK,1/26/2017,002
Kolar,Ivano,12818273834,3661901689262,536651561,Kumičićeva 62,Sesvete,10360,"Ulica Republike Austrije 34, 10040 Zagreb-Dubrava",,+385998026585,,8236823880,CRVENI,,,,IDEAL,4/21/2017,004
Mlinarić,Leon,78566610170,,428836411,Kaptol 23,Kašina,10362,"Kružićeva 56, 10257 Brezovica",+3851813564,,Leon.Mlinaric@hotmail.com,3021335998,BIJELI,,,,BONUS,2/26/2017,003
Šimunić,Nika,66760706963,,,Jurišićeva 36,Donji Dragonožec,10253,,+3851590515,,Nika.simunic@gmail.com,9896963332,BIJELI,,,,BONUS,3/5/2017,004
Golubić,Ana,20172746460,,,Britanski trg 25,Belovar,10363,,+3851193377,+385916454099,,2149291579,BIJELI,Masarykova 50,10020,Zagreb-Novi,BONUS,2/27/2017,001
Popović,Leon,99524696189,7599931480427,,Amruševa 97,Zagreb-Novi Zagreb,10020,,,+385916039341,Leon.Popovic@hotmail.com,5575812210,BIJELI,,,,IDEAL,1/1/2017,001
Pintarić,David,27909827613,,707170986,Trg Dragutina Domjanića 65,Kašina,10362,"Hebrangova 4, 10373 Ivanja Reka",+3851215543,+385912815960,David.Pintaric@hotmail.com,7974196400,PLAVI,,,,IDEAL,1/16/2017,002
Golubić,Mia,39291185103,5860915366722,,Boškovićeva 28,Sesvete,10360,,+3851197255,,,8734871047,BIJELI,,,,IDEAL,4/14/2017,005
Perković,Lana,21682235366,,,Vlaška 52,Ivanja Reka,10373,"Vladimira Stahuljaka 32, 10090 Zagreb-Susedgrad",+3851959685,,Lana.Perkovic@yahoo.com,9945691322,BIJELI,,,,IDEAL,3/31/2017,005
Bačić,Lucija,94717016638,3427249669524,310248251,Kvaternikov trg 72,Zagreb-Novi Zagreb,10020,"Kurelčeva 88, 10020 Zagreb-Novi Zagreb",,+385994669344,,4408451349,PLAVI,,,,IDEAL,2/19/2017,005
Crnković,Leon,03605011570,5910581476922,180130819,Medulićeva 8,Belovar,10363,,,+385918265278,Leon.Crnkovic@yahoo.com,3189288971,PLAVI,,,,IDEAL,3/7/2017,001
Jelić,Petra,66917507938,,369059362,Medulićeva 35,Ivanja Reka,10373,"Draškovićeva 53, 10361 Sesvete-Kraljevec",+3851937235,+385912357004,Petra.Jelic@hotmail.com,2258879529,BIJELI,,,,IDEAL,1/6/2017,005
Lončarić,Petra,90720108114,,411906746,Mikloušićeva 60,Sesvete-Kraljevec,10361,,+3851429371,+385911252965,,7485171439,BIJELI,,,,BONUS,1/17/2017,003
Pavlović,Ivano,17972505262,,844162688,Vladimira Stahuljaka 14,Sesvete,10360,"Mihanovićeva 88, 10257 Brezovica",+3851840781,,,4368908488,BIJELI,,,,IDEAL,2/15/2017,004
Jerković,Petar,84456080612,,990322193,Babukićeva 45,Sesvete,10360,"Krešimira Kovačevića 4, 10010 Zagreb-Sloboština",+3851130199,+385913683806,,1613007388,CRVENI,,,,IDEAL,1/6/2017,001
Vučković,Filip,26682874062,,366944899,Škrlčeva 72,Sesvete,10360,,+3851280603,,,6067787339,BIJELI,,,,IDEAL,4/24/2017,002
Tomić,Filip,85132849907,,,Tkalčićeva 44,Brezovica,10257,,,+38599289600,Filip.Tomic@gmail.com,2387673379,BIJELI,Martićeva 37,10360,Sesvete,IDEAL,4/27/2017,001
